Name,Aura,CL,Slot,Price,Weight,Description,Requirements,Cost,Group,Source,AL,Int,Wis,Cha,Ego,Communication,Senses,Powers,MagicItems,FullText,Destruction,MinorArtifactFlag,MajorArtifactFlag,Abjuration,Conjuration,Divination,Enchantment,Evocation,Necromancy,Transmutation,AuraStrength,WeightValue,PriceValue,CostValue,Languages,BaseItem,LinkText,id,Mythic,LegendaryWeapon,Illusion,Universal,Scaling,IsIntelligentItem
Elixir Of Fire Breath,moderate evocation,11,none,"1,100 gp",-,"This strange bubbling elixir bestows upon the drinker the ability to spit gouts of flame. He can breathe fire up to three times, each time dealing 4d6 points of fire damage to a single target up to 25 feet away. The target can attempt a DC 13 Reflex save for half damage. Unused blasts of fire dissipate 1 hour after the liquid is consumed.","Craft Wondrous Item, scorching ray",550 gp,Wondrous Item,Ultimate Equipment,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Elixir Of Fire Breath</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>moderate evocation; <b>CL </b>11th</h5><h5><b>Slot </b>none; <b>Price </b>1,100 gp; <b>Weight </b>-</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This strange bubbling elixir bestows upon the drinker the ability to spit gouts of flame. He can breathe fire up to three times, each time dealing 4d6 points of fire damage to a single target up to 25 feet away. The target can attempt a DC 13 Reflex save for half damage. Unused blasts of fire dissipate 1 hour after the liquid is consumed.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>scorching ray</i>; <b>Cost </b>550 gp</h5></div>",,0,0,0,0,0,0,1,0,0,moderate,0.0,1100.0,550,,,,2257,0,0,0,0,,0
Elixir Of Hiding,faint illusion,5,none,250 gp,-,A character drinking this liquid gains an intuitive ability to sneak and hide (+10 competence bonus on Stealth checks for 1 hour).,"Craft Wondrous Item, invisibility",125 gp,Wondrous Item,Ultimate Equipment,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Elixir Of Hiding</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint illusion; <b>CL </b>5th</h5><h5><b>Slot </b>none; <b>Price </b>250 gp; <b>Weight </b>-</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>A character drinking this liquid gains an intuitive ability to sneak and hide (+10 competence bonus on Stealth checks for 1 hour).</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>invisibility</i>; <b>Cost </b>125 gp</h5></div>",,0,0,0,0,0,0,0,0,0,faint,0.0,250.0,125,,,,2258,0,0,1,0,,0
Elixir Of Love,faint enchantment,4,none,150 gp,-,"This sweet-tasting liquid causes the character drinking it to become enraptured with the first creature she sees after consuming the draft (as charm person-the drinker must be a humanoid of Medium or smaller size, Will DC 14 negates). The charm effect wears off in 1d3 hours.","Craft Wondrous Item, charm person",75 gp,Wondrous Item,Ultimate Equipment,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Elixir Of Love</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint enchantment; <b>CL </b>4th</h5><h5><b>Slot </b>none; <b>Price </b>150 gp; <b>Weight </b>-</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This sweet-tasting liquid causes the character drinking it to become enraptured with the first creature she sees after consuming the draft (as <i>charm person</i>-the drinker must be a humanoid of Medium or smaller size, Will DC 14 negates). The charm effect wears off in 1d3 hours.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>charm person</i>; <b>Cost </b>75 gp</h5></div>",,0,0,0,0,0,1,0,0,0,faint,0.0,150.0,75,,,,2259,0,0,0,0,,0
Elixir Of Swimming,faint transmutation,2,none,250 gp,-,"This elixir bestows swimming ability. An almost imperceptible magic sheath surrounds the drinker, allowing him to glide through the water easily (+10 competence bonus on Swim checks for 1 hour).","Craft Wondrous Item, creator must have 5 ranks in the Swim skill",125 gp,Wondrous Item,Ultimate Equipment,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Elixir Of Swimming</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint transmutation; <b>CL </b>2nd</h5><h5><b>Slot </b>none; <b>Price </b>250 gp; <b>Weight </b>-</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This elixir bestows swimming ability. An almost imperceptible magic sheath surrounds the drinker, allowing him to glide through the water easily (+10 competence bonus on Swim checks for 1 hour).</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, creator must have 5 ranks in the Swim skill; <b>Cost </b>125 gp</h5></div>",,0,0,0,0,0,0,0,0,1,faint,0.0,250.0,125,,,,2260,0,0,0,0,,0
Elixir Of Truth,faint enchantment,5,none,500 gp,-,"This elixir forces the drinker to say nothing but the truth for 10 minutes (Will DC 13 negates). She must answer any questions put to her in that time, but with each question she can make a separate DC 13 Will save. If one of these secondary saves is successful, she doesn't break free of the truth-compelling enchantment but also doesn't have to answer that particular question (if she does answer, she must tell the truth). No more than one question can be asked each round. This is a mind-affecting compulsion enchantment.","Craft Wondrous Item, zone of truth",250 gp,Wondrous Item,Ultimate Equipment,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Elixir Of Truth</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint enchantment; <b>CL </b>5th</h5><h5><b>Slot </b>none; <b>Price </b>500 gp; <b>Weight </b>-</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This elixir forces the drinker to say nothing but the truth for 10 minutes (Will DC 13 negates). She must answer any questions put to her in that time, but with each question she can make a separate DC 13 Will save. If one of these secondary saves is successful, she doesn't break free of the truth-compelling enchantment but also doesn't have to answer that particular question (if she does answer, she must tell the truth). No more than one question can be asked each round. This is a mind-affecting compulsion enchantment.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>zone of truth</i>; <b>Cost </b>250 gp</h5></div>",,0,0,0,0,0,1,0,0,0,faint,0.0,500.0,250,,,,2261,0,0,0,0,,0
Elixir Of Tumbling,faint transmutation,5,none,250 gp,-,"This draught of liquid grants the drinker the ability to tumble about, avoiding attacks and moving carefully across nearly any surface, granting a +10 competence bonus on Acrobatics checks for 1 hour.","Craft Wondrous Item, cat's grace",125 gp,Wondrous Item,Ultimate Equipment,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Elixir Of Tumbling</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint transmutation; <b>CL </b>5th</h5><h5><b>Slot </b>none; <b>Price </b>250 gp; <b>Weight </b>-</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This draught of liquid grants the drinker the ability to tumble about, avoiding attacks and moving carefully across nearly any surface, granting a +10 competence bonus on Acrobatics checks for 1 hour.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>cat's grace</i>; <b>Cost </b>125 gp</h5></div>",,0,0,0,0,0,0,0,0,1,faint,0.0,250.0,125,,,,2262,0,0,0,0,,0
Elixir Of Vision,faint divination,2,none,250 gp,-,Drinking this elixir grants the imbiber the ability to notice acute details with great accuracy (+10 competence bonus on Perception checks for 1 hour).,"Craft Wondrous Item, true seeing",125 gp,Wondrous Item,Ultimate Equipment,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Elixir Of Vision</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint divination; <b>CL </b>2nd</h5><h5><b>Slot </b>none; <b>Price </b>250 gp; <b>Weight </b>-</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>Drinking this elixir grants the imbiber the ability to notice acute details with great accuracy (+10 competence bonus on Perception checks for 1 hour).</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>true seeing</i>; <b>Cost </b>125 gp</h5></div>",,0,0,0,0,1,0,0,0,0,faint,0.0,250.0,125,,,,2263,0,0,0,0,,0
Flying Ointment,moderate transmutation,9,none,"2,250 gp",-,"This preparation of herbs includes belladonna, mandrake, and foxglove (also known as ""witch's glove""), all carefully measured and mixed into a base of rendered fats. When rubbed over the skin, the ointment grants the subject the ability to fly (as the overland flight spell) for up to 9 hours.","Craft Wondrous Item, overland flight","1,125 gp",Wondrous Item,Ultimate Equipment,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Flying Ointment</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>moderate transmutation; <b>CL </b>9th</h5><h5><b>Slot </b>none; <b>Price </b>2,250 gp; <b>Weight </b>-</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This preparation of herbs includes belladonna, mandrake, and foxglove (also known as ""witch's glove""), all carefully measured and mixed into a base of rendered fats. When rubbed over the skin, the ointment grants the subject the ability to fly (as the <i>overland flight</i> spell) for up to 9 hours.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>overland flight</i>; <b>Cost </b>1,125 gp</h5></div>",,0,0,0,0,0,0,0,0,1,moderate,0.0,2250.0,1125,,,,2272,0,0,0,0,,0
Formula Alembic,faint divination,3,none,200 gp,2 lbs.,"This magically-augmented alchemical device distills a potion or alchemist extract into the knowledge needed to create its formula. By gently heating a potion or extract in the alembic for 1 hour, the device creates a few drops of magical liquid. If consumed by an alchemist, this liquid gives him knowledge of the potion's or extract's formula, as if it were an extract he recorded in his formula book. This knowledge lasts for 24 hours. He may scribe this formula in his formula book in the normal fashion.   Using the alembic does not harm the potion, but the process makes it nearly boiling hot (it cools normally). The alembic can only distill the knowledge of formulas on the alchemist extract list (for example, it cannot turn a potion of a cleric-only spell into something an alchemist can learn).","Brew Potion, Craft Wondrous Item, identify, creator must be an alchemist",100 gp,Wondrous Item,Ultimate Equipment,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Formula Alembic</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint divination; <b>CL </b>3rd</h5><h5><b>Slot </b>none; <b>Price </b>200 gp; <b>Weight </b>2 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This magically-augmented alchemical device distills a potion or alchemist extract into the knowledge needed to create its formula. By gently heating a potion or extract in the alembic for 1 hour, the device creates a few drops of magical liquid. If consumed by an alchemist, this liquid gives him knowledge of the potion's or extract's formula, as if it were an extract he recorded in his formula book. This knowledge lasts for 24 hours. He may scribe this formula in his formula book in the normal fashion. </p><p>Using the alembic does not harm the potion, but the process makes it nearly boiling hot (it cools normally). The alembic can only distill the knowledge of formulas on the alchemist extract list (for example, it cannot turn a potion of a cleric-only spell into something an alchemist can learn).</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Brew Potion, Craft Wondrous Item, <i>identify</i>, creator must be an alchemist; <b>Cost </b>100 gp</h5></div>",,0,0,0,0,1,0,0,0,0,faint,2.0,200.0,100,,,,2274,0,0,0,0,,0
Goblin Fire Drum,faint transmutation,3,none,"2,000 gp",1 lb.,"This small crude-looking drum is attached to a strap long enough to loop around the wearer's neck. A successful DC 12 Perform (percussion) check activates the drum, which enhances any nearby natural or magical fire as long as the bearer spends a move action each round to continue playing. All fires (including fire spells and effects) within 30 feet of the player deal an additional 1 point of fire damage (or 2 points for the greater version). All unattended flammable alchemical objects such as tindertwigs, flasks of oil or alchemist's fire, and fireworks within this range have a 10% chance of spontaneously igniting or exploding (as appropriate to the item) when the drum activates. This chance increases by 5% each round and is checked at the start of the performer's turn as long as the playing continues. A greater goblin fire drum has all the above abilities and can create pyrotechnics once per day.","Craft Wondrous Item, pyrotechnics, spark (Advanced Player's Guide)","1,000 gp",Wondrous Item,Ultimate Equipment,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Goblin Fire Drum</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint transmutation; <b>CL </b>3rd</h5><h5><b>Slot </b>none; <b>Price </b>2,000 gp; <b>Weight </b>1 lb.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This small crude-looking drum is attached to a strap long enough to loop around the wearer's neck. A successful DC 12 Perform (percussion) check activates the drum, which enhances any nearby natural or magical fire as long as the bearer spends a move action each round to continue playing. All fires (including fire spells and effects) within 30 feet of the player deal an additional 1 point of fire damage (or 2 points for the greater version). All unattended flammable alchemical objects such as tindertwigs, flasks of oil or alchemist's fire, and fireworks within this range have a 10% chance of spontaneously igniting or exploding (as appropriate to the item) when the drum activates. This chance increases by 5% each round and is checked at the start of the performer's turn as long as the playing continues. A <i>greater goblin fire drum</i> has all the above abilities and can create <i>pyrotechnics</i> once per day.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>pyrotechnics</i>, <i>spark (Advanced Player's Guide)</i>; <b>Cost </b>1,000 gp</h5></div>",,0,0,0,0,0,0,0,0,1,faint,1.0,2000.0,1000,,,,2277,0,0,0,0,,0
Goblin Skull Bomb,moderate evocation,6,none,"1,200 gp",1 lb.,"An ember glow lights the beady eyes of this blackened, burned out goblin's skull. It is very brittle and shatters if dropped on solid ground. When a goblin skull bomb breaks, the very last creature to touch it bursts into a raging magical flame, automatically suffering 5d6 points of fire damage and also catching fire should it fail a Reflex save (DC 13). If this kills the creature, its body burns away in one round, leaving behind only a pile of ash and the creature's blackened, burned-out skull, which is a new goblin skull bomb. If the target survives the fire, doesn't have a skull, or if its skull is destroyed before another creature touches it, it does not create a new goblin skull bomb.   A skull bomb can be used as a thrown weapon with a range increment of 10 feet. If the attacker hits, the skull shatters, immolating the target as described above. If the attacker misses, the skull breaks upon the floor or another nearby hard surface and the attacker bursts into flame. Touching the skull using gloves, gauntlets, or handheld items such as tools or weapons counts as touching the skull. It can be safely moved using spells (such as mage hand or telekinesis) or attacked with ranged weapons (hardness 0, 1 hp).","Craft Wondrous Item, flaming sphere",600 gp,Wondrous Item,Ultimate Equipment,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Goblin Skull Bomb</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>moderate evocation; <b>CL </b>6th</h5><h5><b>Slot </b>none; <b>Price </b>1,200 gp; <b>Weight </b>1 lb.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>An ember glow lights the beady eyes of this blackened, burned out goblin's skull. It is very brittle and shatters if dropped on solid ground. When a <i>goblin skull bomb</i> breaks, the very last creature to touch it bursts into a raging magical flame, automatically suffering 5d6 points of fire damage and also catching fire should it fail a Reflex save (DC 13). If this kills the creature, its body burns away in one round, leaving behind only a pile of ash and the creature's blackened, burned-out skull, which is a new <i>goblin skull bomb</i>. If the target survives the fire, doesn't have a skull, or if its skull is destroyed before another creature touches it, it does not create a new <i>goblin skull bomb</i>. </p><p>A skull bomb can be used as a thrown weapon with a range increment of 10 feet. If the attacker hits, the skull shatters, immolating the target as described above. If the attacker misses, the skull breaks upon the floor or another nearby hard surface and the attacker bursts into flame. Touching the skull using gloves, gauntlets, or handheld items such as tools or weapons counts as touching the skull. It can be safely moved using spells (such as <i>mage hand</i> or telekinesis) or attacked with ranged weapons (hardness 0, 1 hp).</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>flaming sphere</i>; <b>Cost </b>600 gp</h5></div>",,0,0,0,0,0,0,1,0,0,moderate,1.0,1200.0,600,,,,2279,0,0,0,0,,0
Grave Salt,faint evocation,5,none,"1,100 gp",5 lbs.,"When poured on ground in a circle, this pure white salt sanctifies the enclosed area as the spell consecrate. Applying the salt takes 1 round per dose. A single dose is sufficient to form a 5-foot radius circle, with each additional dose increasing the circle's radius by 5 feet. The area within the circle remains consecrated for 1 hour per dose, though any corporeal creature can spend a standard action to break the circle and end the effect prematurely. A newly created pouch of grave salt holds 5 doses.   Grave salt can also be used directly against restless spirits. A single dose can be hurled up to 15 feet as a ranged touch attack. An incorporeal undead creature struck by the salt must make a DC 14 Will save or take 1d4 points of Charisma damage. Strong winds and other effects that penalize ranged attacks make it impossible to employ the salt in this manner.","Craft Wondrous Item, consecrate",550 gp,Wondrous Item,Ultimate Equipment,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Grave Salt</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint evocation; <b>CL </b>5th</h5><h5><b>Slot </b>none; <b>Price </b>1,100 gp; <b>Weight </b>5 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>When poured on ground in a circle, this pure white salt sanctifies the enclosed area as the spell <i>consecrate</i>. Applying the salt takes 1 round per dose. A single dose is sufficient to form a 5-foot radius circle, with each additional dose increasing the circle's radius by 5 feet. The area within the circle remains <i>consecrate</i>d for 1 hour per dose, though any corporeal creature can spend a standard action to break the circle and end the effect prematurely. A newly created pouch of <i>grave salt</i> holds 5 doses. </p><p><i>Grave salt</i> can also be used directly against restless spirits. A single dose can be hurled up to 15 feet as a ranged touch attack. An incorporeal undead creature struck by the salt must make a DC 14 Will save or take 1d4 points of Charisma damage. Strong winds and other effects that penalize ranged attacks make it impossible to employ the salt in this manner.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>consecrate</i>; <b>Cost </b>550 gp</h5></div>",,0,0,0,0,0,0,1,0,0,faint,5.0,1100.0,550,,,,2280,0,0,0,0,,0
Handy Haversack,moderate conjuration,9,none,"2,000 gp",5 lbs.,"A backpack of this sort appears to be well made, well used, and quite ordinary. It has two side pouches, each of which appears large enough to hold about a quart of material. In fact, each is like a bag of holding and can actually hold material of as much as 2 cubic feet in volume or 20 pounds in weight. The large central portion of the pack can contain up to 8 cubic feet or 80 pounds of material. Even when so filled, the backpack always weighs only 5 pounds.   While such storage is useful enough, the pack has an even greater power. When the wearer reaches into it for a specific item, that item is always on top. Thus, no digging around and fumbling is ever necessary to find what a haversack contains. Retrieving any specific item from a haversack is a move action, but it does not provoke the attacks of opportunity that retrieving a stored item usually does.","Craft Wondrous Item, secret chest","1,000 gp",Wondrous Item,Ultimate Equipment,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Handy Haversack</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>moderate conjuration; <b>CL </b>9th</h5><h5><b>Slot </b>none; <b>Price </b>2,000 gp; <b>Weight </b>5 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>A backpack of this sort appears to be well made, well used, and quite ordinary. It has two side pouches, each of which appears large enough to hold about a quart of material. In fact, each is like a <i>bag of holding</i> and can actually hold material of as much as 2 cubic feet in volume or 20 pounds in weight. The large central portion of the pack can contain up to 8 cubic feet or 80 pounds of material. Even when so filled, the backpack always weighs only 5 pounds. </p><p>While such storage is useful enough, the pack has an even greater power. When the wearer reaches into it for a specific item, that item is always on top. Thus, no digging around and fumbling is ever necessary to find what a haversack contains. Retrieving any specific item from a haversack is a move action, but it does not provoke the attacks of opportunity that retrieving a stored item usually does.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>secret chest</i>; <b>Cost </b>1,000 gp</h5></div>",,0,0,0,1,0,0,0,0,0,moderate,5.0,2000.0,1000,,,,2282,0,0,0,0,,0
Hexing Doll,faint enchantment,5,none,"2,500 gp",1 lb.,"This malevolent-looking doll is made out of cheap rags and embroidery thread and is stuffed with straw or sawdust. A creature holding or carrying the doll takes a -4 penalty on saving throws against witch hexes. Alternatively, if the doll is stuffed with the hair of a creature, any witch holding the doll increases the DC of her hexes by +2 when using the hexes against that creature. A doll used in this way does not cause the witch to take a penalty on her saving throws.","Craft Wondrous Item, bestow curse","1,250 gp",Wondrous Item,Ultimate Equipment,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Hexing Doll</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint enchantment; <b>CL </b>5th</h5><h5><b>Slot </b>none; <b>Price </b>2,500 gp; <b>Weight </b>1 lb.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This malevolent-looking doll is made out of cheap rags and embroidery thread and is stuffed with straw or sawdust. A creature holding or carrying the doll takes a -4 penalty on saving throws against witch hexes. Alternatively, if the doll is stuffed with the hair of a creature, any witch holding the doll increases the DC of her hexes by +2 when using the hexes against that creature. A doll used in this way does not cause the witch to take a penalty on her saving throws.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>bestow curse</i>; <b>Cost </b>1,250 gp</h5></div>",,0,0,0,0,0,1,0,0,0,faint,1.0,2500.0,1250,,,,2286,0,0,0,0,,0
Horn Of Fog,faint conjuration,3,none,"2,000 gp",1 lb.,"This small bugle allows its possessor to blow forth a thick cloud of heavy fog similar to that of an obscuring mist spell. The fog covers a 10-foot square next to the horn blower each round that the user continues to blow the horn; a fog cloud travels 10 feet each round in a straight line from the emanation point unless blocked by something substantial such as a wall. The device makes a deep, foghorn-like noise, with the note dropping abruptly to a lower register at the end of each blast. The fog dissipates after 3 minutes. A moderate wind (11+ mph) disperses the fog in 4 rounds; a strong wind (21+ mph) disperses the fog in 1 round.","Craft Wondrous Item, obscuring mist","1,000 gp",Wondrous Item,Ultimate Equipment,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Horn Of Fog</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint conjuration; <b>CL </b>3rd</h5><h5><b>Slot </b>none; <b>Price </b>2,000 gp; <b>Weight </b>1 lb.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This small bugle allows its possessor to blow forth a thick cloud of heavy fog similar to that of an <i>obscuring mist</i> spell. The fog covers a 10-foot square next to the horn blower each round that the user continues to blow the horn; a fog cloud travels 10 feet each round in a straight line from the emanation point unless blocked by something substantial such as a wall. The device makes a deep, foghorn-like noise, with the note dropping abruptly to a lower register at the end of each blast. The fog dissipates after 3 minutes. A moderate wind (11+ mph) disperses the fog in 4 rounds; a strong wind (21+ mph) disperses the fog in 1 round.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>obscuring mist</i>; <b>Cost </b>1,000 gp</h5></div>",,0,0,0,1,0,0,0,0,0,faint,1.0,2000.0,1000,,,,2291,0,0,0,0,,0
Hybridization Funnel,faint transmutation,3,none,200 gp,2 lbs.,"This two-spouted funnel is used to safely mix two alchemical splash weapons into a single flask. Using the vial requires 10 minutes and a DC 25 Craft (alchemy) check; a half-elf has a +5 bonus on this check. Failing the check means both splash weapon are destroyed. Success means the two materials are safely mixed into one vial that is the same volume as a normal splash weapon vial; when thrown as a splash weapon, the mixture has the effects of both component substances and creatures are affected as if hit by both. The mixture becomes inert after 24 hours. Only liquids may be mixed with the funnel. The bearer can use it to mix an alchemical splash weapon with either holy water or unholy water, but the Craft (alchemy) DC increases to 30; half-elves still get the +5 bonus on this check. The funnel does not work on potions, elixirs, extracts, or other materials. Mixing a substance with a similar or identical substance (such as alchemist's fire with alchemist's fire) has no effect. A mixture cannot be combined with another mixture.","Craft Wondrous Item, fabricate or combine extracts discovery",100 gp,Wondrous Item,Ultimate Equipment,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Hybridization Funnel</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint transmutation; <b>CL </b>3rd</h5><h5><b>Slot </b>none; <b>Price </b>200 gp; <b>Weight </b>2 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This two-spouted funnel is used to safely mix two alchemical splash weapons into a single flask. Using the vial requires 10 minutes and a DC 25 Craft (alchemy) check; a half-elf has a +5 bonus on this check. Failing the check means both splash weapon are destroyed. Success means the two materials are safely mixed into one vial that is the same volume as a normal splash weapon vial; when thrown as a splash weapon, the mixture has the effects of both component substances and creatures are affected as if hit by both. The mixture becomes inert after 24 hours. Only liquids may be mixed with the funnel. The bearer can use it to mix an alchemical splash weapon with either holy water or unholy water, but the Craft (alchemy) DC increases to 30; half-elves still get the +5 bonus on this check. The funnel does not work on potions, elixirs, extracts, or other materials. Mixing a substance with a similar or identical substance (such as alchemist's fire with alchemist's fire) has no effect. A mixture cannot be combined with another mixture.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>fabricate</i> or combine extracts discovery; <b>Cost </b>100 gp</h5></div>",,0,0,0,0,0,0,0,0,1,faint,2.0,200.0,100,,,,2299,0,0,0,0,,0
Incense Of Transcendence,moderate enchantment,7,none,"1,000 gp",1 lb.,"The heady vapors of this coiled incense facilitate a deep meditative trance. When an oracle lights a coil of incense of transcendence and then spends 8 hours praying and meditating nearby, she can replace one of her revelations with another revelation. The new revelation must be one available to her (such as from the same mystery) and must be available at the same class level as the original revelation (for example, she cannot replace a revelation available at 1st level with a revelation requiring a minimum of 7th level). If she replaces a revelation that is a prerequisite for another revelation or ability, she cannot use that other revelation or ability while under the influence of the incense.   The coil of incense burns for 8 hours. Its effects persist for 24 hours, after which the oracle's original revelations return.","Craft Wondrous Item, prayer, creator must be oracle level 7th",500 gp,Wondrous Item,Ultimate Equipment,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Incense Of Transcendence</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>moderate enchantment; <b>CL </b>7th</h5><h5><b>Slot </b>none; <b>Price </b>1,000 gp; <b>Weight </b>1 lb.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>The heady vapors of this coiled incense facilitate a deep meditative trance. When an oracle lights a coil of <i>incense of transcendence</i> and then spends 8 hours praying and meditating nearby, she can replace one of her revelations with another revelation. The new revelation must be one available to her (such as from the same mystery) and must be available at the same class level as the original revelation (for example, she cannot replace a revelation available at 1st level with a revelation requiring a minimum of 7th level). If she replaces a revelation that is a prerequisite for another revelation or ability, she cannot use that other revelation or ability while under the influence of the incense. </p><p>The coil of incense burns for 8 hours. Its effects persist for 24 hours, after which the oracle's original revelations return.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>prayer</i>, creator must be oracle level 7th; <b>Cost </b>500 gp</h5></div>",,0,0,0,0,0,1,0,0,0,moderate,1.0,1000.0,500,,,,2301,0,0,0,0,,0
