name,spellLevel,shortDescription,"Cleric, Druid, Wizard Scroll Cost",Sorcerer Scroll Cost,Bard Scroll Cost,"Paladin, Ranger Scroll Cost",Lowest Scroll Cost
Scroll of Planar Orientation,"bard 1, cleric/oracle 1, druid 1, inquisitor 1, psychic 1, ranger 1, shaman 1, summoner/unchained summoner 1, witch 1, sorcerer/wizard 1",,25.0,25.0,25.0,25.0,25.0
Scroll of Speechreader's Sight,"alchemist 1, bard 1, cleric/oracle 1, inquisitor 1, medium 1, mesmerist 1, occultist 1, psychic 1, sorcerer/wizard 1, spiritualist 1, witch 1",,25.0,25.0,25.0,0.0,25.0
Scroll of Pierce Facade,"alchemist 1, bard 1, cleric/oracle 1, inquisitor 1, psychic 1, sorcerer/wizard 1, witch 1",,25.0,25.0,25.0,0.0,25.0
Scroll of Rune Trace,"bard 1, cleric/oracle 1, occultist 1, psychic 1, sorcerer/wizard 1",,25.0,25.0,25.0,0.0,25.0
Scroll of Detect Charm,"bard 1, cleric/oracle 1, inquisitor 1, medium 1, mesmerist 1, occultist 1, paladin 1, psychic 1, shaman 1, sorcerer/wizard 1, spiritualist 1, witch 1",,25.0,25.0,25.0,25.0,25.0
Scroll of Mirror Mantis,"bard 1, cleric/oracle 1, mesmerist 1, occultist 1, psychic 1, sorcerer/wizard 1",,25.0,25.0,25.0,0.0,25.0
Scroll of Infernal Healing,"cleric/oracle 1, magus 1, sorcerer/wizard 1, summoner/unchained summoner 1, witch 1",,25.0,25.0,0.0,0.0,25.0
Scroll of Bestow Planar Infusion I,"cleric/oracle 1, inquisitor 1, magus 1, medium 1, occultist 1, psychic 1, sorcerer/wizard 1, summoner 1, witch 1",Grant a target the effects of a planar infusion.,25.0,25.0,0.0,0.0,25.0
Scroll of Remove Sickness,"cleric/oracle 1, druid 1, witch 1, mesmerist 1, spiritualist 1","Suppress disease, nausea, and the sickened condition.",25.0,0.0,0.0,0.0,25.0
Scroll of Mighty Fist Of The Earth,"cleric/oracle 1, druid 1",,25.0,0.0,0.0,0.0,25.0
Scroll of Stone Shield,"cleric/oracle 1, druid 1, magus 2, sorcerer/wizard 1, summoner/unchained summoner 1",,25.0,25.0,0.0,0.0,25.0
Scroll of Dream Feast,"cleric/oracle 1, druid 1, ranger 1",,25.0,0.0,0.0,25.0,25.0
Scroll of Pick Your Poison,"bard 1, cleric/oracle 1, inquisitor 1, witch 1",,25.0,0.0,25.0,0.0,25.0
Scroll of Murderous Crow,"antipaladin 1, cleric/oracle 1, paladin 1, sorcerer/wizard 1, summoner/unchained summoner 1, witch 1",,25.0,25.0,0.0,25.0,25.0
Scroll of Alleviate Addiction,"alchemist 1, cleric/oracle 1, druid 1, paladin 1, ranger 1, shaman 1, witch 1",,25.0,0.0,0.0,25.0,25.0
Scroll of Celestial Healing,"bloodrager 1, cleric/oracle 1, magus 1, sorcerer/wizard 1, summoner/unchained summoner 1, witch 1",,25.0,25.0,0.0,0.0,25.0
Scroll of Desperate Weapon,"antipaladin 1, bard 1, bloodrager 1, cleric/oracle 1, inquisitor 1, magus 1, occultist 1, ranger 1, sorcerer/wizard 1",Create an improvised weapon.,25.0,25.0,25.0,25.0,25.0
Scroll of Guardian Armor,"antipaladin 1, bloodrager 1, cleric/oracle 1, inquisitor 1, magus 1, occultist 1, paladin 1, sorcerer/wizard 1",,25.0,25.0,0.0,25.0,25.0
Scroll of Barbed Chains,"antipaladin 1, bloodrager 1, cleric/oracle 1, inquisitor 1, occultist 1, shaman 1, summoner/unchained summoner 1"," Hellish chains attack and cause a target to become shaken.",25.0,0.0,0.0,0.0,25.0
Scroll of Bless Water,"cleric/oracle 1, paladin 1, inquisitor 1",Makes holy water.,25.0,0.0,0.0,25.0,25.0
Scroll of Curse Water,"cleric/oracle 1, inquisitor 1, antipaladin 1",Makes water unholy.,25.0,0.0,0.0,0.0,25.0
Scroll of Deathwatch,"cleric/oracle 1, spiritualist 1, medium 1", Reveals how near death subjects within 30 ft. are.,25.0,0.0,0.0,0.0,25.0
Scroll of Share Language,"bard 1, cleric/oracle 2, druid 2, sorcerer/wizard 2, occultist 2, psychic 1, mesmerist 1, medium 1",Subject understands chosen language.,150.0,200.0,25.0,0.0,25.0
Scroll of Whispering Lore,"cleric/oracle 2, druid 1, ranger 1, witch 1, psychic 1, medium 1",,25.0,0.0,0.0,25.0,25.0
Scroll of Detect Animals or Plants,"druid 1, ranger 1, shaman 1, psychic 1",Detects kinds of animals or plants.,25.0,0.0,0.0,25.0,25.0
Scroll of Detect Secret Doors,"alchemist 1, bard 1, sorcerer/wizard 1, witch 1, occultist 1, psychic 1, mesmerist 1",Reveals hidden doors within 60 ft.,25.0,25.0,25.0,0.0,25.0
Scroll of Divine Favor,"cleric/oracle 1, paladin 1, inquisitor 1",You gain +1 per three levels on attack and damage rolls.,25.0,0.0,0.0,25.0,25.0
Scroll of Doom,"antipaladin 1, cleric/oracle 1, inquisitor 1, shaman 1, mesmerist 1, spiritualist 1","One subject takes –2 on attack rolls, damage rolls, saves, and checks.",25.0,0.0,0.0,0.0,25.0
Scroll of Hide from Undead,"cleric/oracle 1, inquisitor 1", Undead can't perceive one subject/level.,25.0,0.0,0.0,0.0,25.0
Scroll of Inflict Light Wounds,"antipaladin 1, cleric/oracle 1, inquisitor 1, witch 1, shaman 1, occultist 1, spiritualist 1",Touch deals 1d8 damage +1/level (max +5).,25.0,0.0,0.0,0.0,25.0
Scroll of Magic Stone,"cleric/oracle 1, druid 1, shaman 1","Three stones gain +1 on attack, deal 1d6 +1 damage.",25.0,0.0,0.0,0.0,25.0
Scroll of Magic Weapon,"cleric/oracle 1, paladin 1, sorcerer/wizard 1, inquisitor 1, antipaladin 1, magus 1, bloodrager 1, shaman 1, occultist 1",Weapon gains +1 bonus.,25.0,25.0,0.0,25.0,25.0
Scroll of Protection From Chaos,"cleric/oracle 1, paladin 1, sorcerer/wizard 1, inquisitor 1, summoner/unchained summoner 1, bloodrager 1, shaman 1, spiritualist 1, medium 1","+2 to AC and saves, plus additional protection against selected alignment.",25.0,25.0,0.0,25.0,25.0
Scroll of Protection From Evil,,"+2 to AC and saves, plus additional protection against selected alignment.",25.0,25.0,0.0,25.0,25.0
Scroll of Protection From Good,"cleric/oracle 1, sorcerer/wizard 1, inquisitor 1, summoner/unchained summoner 1, antipaladin 1, bloodrager 1, shaman 1, spiritualist 1, medium 1","+2 to AC and saves, plus additional protection against selected alignments.",25.0,25.0,0.0,0.0,25.0
Scroll of Protection From Law,"cleric/oracle 1, sorcerer/wizard 1, inquisitor 1, summoner/unchained summoner 1, antipaladin 1, bloodrager 1, shaman 1, spiritualist 1, medium 1","+2 to AC and saves, plus additional protection against selected alignments.",25.0,25.0,0.0,0.0,25.0
Scroll of Sanctuary,"cleric/oracle 1, inquisitor 1, spiritualist 1"," Opponents can't attack you, and you can't attack.",25.0,0.0,0.0,0.0,25.0
Scroll of Shield Of Faith,"cleric/oracle 1, inquisitor 1", Aura grants +2 or higher deflection bonus.,25.0,0.0,0.0,0.0,25.0
Scroll of Burning Disarm,"cleric/oracle 1, druid 1, sorcerer/wizard 1",,25.0,25.0,0.0,0.0,25.0
Scroll of Shield the Banner,"adept 1, cleric/oracle 1",,25.0,0.0,0.0,0.0,25.0
Scroll of Dancing Lantern,"bard 1, cleric/oracle 1, ranger 1, sorcerer/wizard 1, witch 1, shaman 1",Animates a lantern that follows you.,25.0,25.0,25.0,25.0,25.0
Scroll of Gorum's Armor,"cleric/oracle 1, inquisitor 1, magus 1",,25.0,0.0,0.0,0.0,25.0
Scroll of Detect Thoughts,"bard 2, sorcerer/wizard 2, alchemist 2, summoner/unchained summoner 2, witch 2, inquisitor 2, psychic 1, mesmerist 2, spiritualist 2, medium 2",Allows “listening” to surface thoughts.,150.0,200.0,200.0,0.0,150.0
Scroll of Ray of Sickening,"cleric/oracle 1, druid 1, sorcerer/wizard 1, summoner/unchained summoner 1, witch 1, bloodrager 1, mesmerist 1",Ray makes the subject sickened.,25.0,25.0,0.0,0.0,25.0
Scroll of Sanctify Corpse,"cleric/oracle 1, inquisitor 1, paladin 1, witch 1, spiritualist 1",Prevent a corpse from becoming an undead creature.,25.0,0.0,0.0,25.0,25.0
Scroll of Weaponwand,"bard 1, cleric/oracle 1, inquisitor 1, magus 1",,25.0,0.0,25.0,0.0,25.0
Scroll of Identify,"bard 1, sorcerer/wizard 1, alchemist 1, summoner/unchained summoner 1, witch 1, alchemist 1, occultist 1, psychic 1, spiritualist 1, medium 1",Gives +10 bonus to identify magic items.,25.0,25.0,25.0,0.0,25.0
Scroll of Reinforce Armaments,"cleric/oracle 1, magus 1, sorcerer/wizard 1, witch 1, occultist 1",Temporarily mitigates the fragile quality in targeted weapon or armor.,25.0,25.0,0.0,0.0,25.0
Scroll of Sun Metal,"cleric/oracle 1, paladin 1, ranger 1",Weapon touched bursts into flames.,25.0,0.0,0.0,25.0,25.0
Scroll of Aspect of the Nightingale,"bard 1, cleric/oracle 1, druid 1, paladin 1, ranger 1",,25.0,0.0,25.0,25.0,25.0
Scroll of Advanced Scurvy,"cleric/oracle 1, druid 1",,25.0,0.0,0.0,0.0,25.0
Scroll of True Strike,"sorcerer/wizard 1, alchemist 1, inquisitor 1, magus 1, bloodrager 1, psychic 1, medium 1", +20 on your next attack roll.,25.0,25.0,0.0,0.0,25.0
Scroll of Ironbeard,"antipaladin 1, cleric/oracle 1, magus 1, paladin 1, ranger 1",,25.0,0.0,0.0,25.0,25.0
Scroll of Theft Ward,"cleric/oracle 1, inquisitor 1, sorcerer/wizard 1, witch 1, mesmerist 1",,25.0,25.0,0.0,0.0,25.0
Scroll of Winter Feathers,"cleric/oracle 1, druid 1, inquisitor 1, ranger 1, sorcerer/wizard 1, bloodrager 1",,25.0,25.0,0.0,25.0,25.0
Scroll of Marid's Mastery,"cleric/oracle 1, druid 1, ranger 1, sorcerer/wizard 1, witch 1",,25.0,25.0,0.0,25.0,25.0
Scroll of Detect Aberration,"druid 1, ranger 1, psychic 1",Reveals presence of aberrations.,25.0,0.0,0.0,25.0,25.0
Scroll of Ironbloom Sprouts,"cleric/oracle 1, druid 1",,25.0,0.0,0.0,0.0,25.0
Scroll of Clarion Call,"bard 1, cleric/oracle 1, magus 1, sorcerer/wizard 1",,25.0,25.0,25.0,0.0,25.0
Scroll of Peasant Armaments,"cleric/oracle 1, inquisitor 1, ranger 1, sorcerer/wizard 1",,25.0,25.0,0.0,25.0,25.0
Scroll of Ceremony,cleric/oracle 1,,25.0,0.0,0.0,0.0,25.0
Scroll of Anticipate Peril,"alchemist 1, bard 1, ranger 1, sorcerer/wizard 1, occultist 1, psychic 1, mesmerist 1, spiritualist 1, medium 1",Target gains a bonus on one initiative check.,25.0,25.0,25.0,25.0,25.0
Scroll of See Alignment,"alchemist 1, bard 1, sorcerer/wizard 1, psychic 1","Pick an alignment; in your sight, creatures and items with that alignment emit a ghostly radiance.",25.0,25.0,25.0,0.0,25.0
Scroll of Discern Next Of Kin,"bard 1, shaman 1, sorcerer/wizard 1, witch 1, occultist 1, psychic 1, mesmerist 1, spiritualist 1, medium 1",Read the target’s mind to learn about its family.,25.0,25.0,25.0,0.0,25.0
Scroll of Bleeding Strike,"antipaladin 1, cleric/oracle 1, ranger 1, witch 1",,25.0,0.0,0.0,25.0,25.0
Scroll of Heightened Awareness,"alchemist 1, bard 1, druid 1, inquisitor 1, ranger 1, shaman 1, sorcerer/wizard 1, occultist 1, psychic 1, mesmerist 1, medium 1",Your recall and ability to process information improve.,25.0,25.0,25.0,25.0,25.0
Scroll of Abstemiousness,"bard 1, cleric/oracle 1, druid 1, witch 1",,25.0,0.0,25.0,0.0,25.0
Scroll of Enhance Water,"bard 1, cleric/oracle 1, paladin 1",,25.0,0.0,25.0,25.0,25.0
Scroll of Face Of The Devourer,"adept 1, antipaladin 1, cleric/oracle 1, druid 1, sorcerer/wizard 1",,25.0,25.0,0.0,0.0,25.0
Scroll of Fallback Strategy,"cleric/oracle 1, inquisitor 1, paladin 1, magus 1",,25.0,0.0,0.0,25.0,25.0
Scroll of Firebelly,"alchemist 1, cleric/oracle 1, druid 1, paladin 1",,25.0,0.0,0.0,25.0,25.0
Scroll of Hairline Fractures,"cleric/oracle 1, druid 1, witch 1",,25.0,0.0,0.0,0.0,25.0
Scroll of Ice Armor,"cleric/oracle 1, druid 1",,25.0,0.0,0.0,0.0,25.0
Scroll of Lighten Object,"bard 1, cleric/oracle 1, magus 1, sorcerer/wizard 1, summoner/unchained summoner 1",,25.0,25.0,25.0,0.0,25.0
Scroll of Poisoned Egg,"bard 1, cleric/oracle 1, inquisitor 1, magus 1, sorcerer/wizard 1, witch 1",,25.0,25.0,25.0,0.0,25.0
Scroll of Mind Thrust I,psychic 1,Mentally deal 1d6 points of damage per level.,0.0,0.0,0.0,0.0,0.0
Scroll of Mindlink,"medium 1, mesmerist 1, occultist 1, psychic 1, shaman 1, sorcerer/wizard 1, spiritualist 1",Communicate a great deal of information in an instant.,25.0,25.0,0.0,0.0,25.0
Scroll of Touch Of Bloodletting,"antipaladin 2, cleric/oracle 1, druid 1, sorcerer/wizard 2, witch 2",,25.0,200.0,0.0,0.0,25.0
Scroll of Tracking Mark,"druid 1, cleric/oracle 1, paladin 1, ranger 1",,25.0,0.0,0.0,25.0,25.0
Scroll of Unwelcome Halo,"cleric/oracle 1, paladin 1, sorcerer/wizard 1",,25.0,25.0,0.0,25.0,25.0
Scroll of Weapons Against Evil,"cleric/oracle 1, inquisitor 1, paladin 1",,25.0,0.0,0.0,25.0,25.0
Scroll of Lucky Number,"bard 1, cleric/oracle 1, druid 1, inquisitor 1, paladin 1, sorcerer/wizard 1, summoner/unchained summoner 1, witch 1",,25.0,25.0,25.0,25.0,25.0
Scroll of Psychic Reading,"bard 2, inquisitor 2, medium 1, mesmerist 1, occultist 1, psychic 1, sorcerer/wizard 2, spiritualist 1",Read surface thoughts to learn information about a subject.,150.0,200.0,200.0,0.0,150.0
Scroll of Linked Legacy,"bard 1, medium 1, mesmerist 1, occultist 1, psychic 1, shaman 1, sorcerer/wizard 1, witch 1",,25.0,25.0,25.0,0.0,25.0
Scroll of Blessed Fist,"cleric/oracle 1, paladin 1",Target doesn’t provoke attacks of opportunity with unarmed strikes.,25.0,0.0,0.0,25.0,25.0
Scroll of Refine Improvised Weapon,"cleric/oracle 1, inquisitor 1, ranger 1, sorcerer/wizard 1, occultist 1",Transform improvised weapon into a masterwork simple or martial weapon.,25.0,25.0,0.0,25.0,25.0
Scroll of Blend With Surroundings,"bard 1, cleric/oracle 1, druid 1, shaman 1, sorcerer/wizard 1, summoner/unchained summoner 1, witch 1",,25.0,25.0,25.0,0.0,25.0
Scroll of Cloak Of Secrets,"antipaladin 1, bard 1, cleric/oracle 1, inquisitor 1, sorcerer/wizard 1, witch 1",,25.0,25.0,25.0,0.0,25.0
Scroll of True Skill,"alchemist 1, bard 1, magus 1, medium 1, psychic 1, sorcerer/wizard 1",,25.0,25.0,25.0,0.0,25.0
Scroll of Peace Bond,"bard 1, cleric/oracle 1, druid 1, inquisitor 1, paladin 1, shaman 1, sorcerer/wizard 1, witch 1",,25.0,25.0,25.0,25.0,25.0
Scroll of Augury,"cleric/oracle 2, witch 2, shaman 2, occultist 2, psychic 2, spiritualist 2, medium 2", Learns whether an action will be good or bad.,150.0,0.0,0.0,0.0,150.0
Scroll of Find Traps,"cleric/oracle 2, witch 2, inquisitor 2, occultist 2, psychic 2, medium 2", Notice traps as a rogue does.,150.0,0.0,0.0,0.0,150.0
Scroll of Touch Of Blindness,"antipaladin 1, bard 1, cleric/oracle 1, sorcerer/wizard 1, shaman 1, witch 1",,25.0,25.0,25.0,0.0,25.0
Scroll of Status,"cleric/oracle 2, witch 2, occultist 2, psychic 2, spiritualist 2, medium 2"," Monitors condition, position of allies.",150.0,0.0,0.0,0.0,150.0
Scroll of Obscure Poison,"alchemist 1, antipaladin 1, bard 1, cleric/oracle 1, druid 1, mesmerist 1, shaman 1, sorcerer/wizard 1, witch 1",Make it harder to detect a poison or a venomous creature.,25.0,25.0,25.0,0.0,25.0
Scroll of Grasping Corpse,"antipaladin 1, cleric/oracle 1, occultist 1, shaman 1, sorcerer/wizard 1, spiritualist 1, witch 1"," Cause a corpse to grab or trip a foe.",25.0,25.0,0.0,0.0,25.0
Scroll of Hedging Weapons,"antipaladin 1, cleric/oracle 1, inquisitor 1, paladin 1"," Floating weapons protect you and make ranged attacks.",25.0,0.0,0.0,25.0,25.0
Scroll of Rite Of Bodily Purity,"cleric/oracle 1, druid 1, paladin 1, ranger 1, shaman 1",,25.0,0.0,0.0,25.0,25.0
Scroll of Rite Of Centered Mind,"cleric/oracle 1, druid 1, shaman 1, wizard 1",,25.0,0.0,0.0,0.0,25.0
Scroll of Scarify,"adept 1, alchemist 1, antipaladin 1, cleric/oracle 1, druid 1, inquisitor 1, shaman 1, spiritualist 1, witch 1",,25.0,0.0,0.0,0.0,25.0
Scroll of Ferment,"alchemist 1, bard 1, cleric/oracle 1, druid 1, sorcerer/wizard 1, witch 1",,25.0,25.0,25.0,0.0,25.0
Scroll of Spirit Share,"alchemist 1, bard 1, cleric/oracle 1, druid 1, occultist 1, shaman 1, sorcerer/wizard 1, witch 1",,25.0,25.0,25.0,0.0,25.0
Scroll of Build Trust,"bard 2, cleric/oracle 2, inquisitor 2, mesmerist 2, paladin 1, psychic 2",Gain various bonuses when interacting with the target.,150.0,0.0,200.0,25.0,25.0
Scroll of Funereal Weapon,"cleric/oracle 1, inquisitor 1, occultist 1, paladin 1",,25.0,0.0,0.0,25.0,25.0
Scroll of Preserve,"adept 1, cleric/oracle 1, medium 1, occultist 1, ranger 1, shaman 1, sorcerer/wizard 1, spiritualist 1, witch 1",,25.0,25.0,0.0,25.0,25.0
Scroll of Resist Starvation,"antipaladin 1, cleric/oracle 1, shaman 1",,25.0,0.0,0.0,0.0,25.0
Scroll of Strand Of The Tangled Knot,"cleric/oracle 1, inquisitor 1, shaman 1, witch 1",,25.0,0.0,0.0,0.0,25.0
Scroll of Hidden Spring,"cleric/oracle 1, druid 1, ranger 1, shaman 1, witch 1","Discover a temporary spring of fresh, flowing water.",25.0,0.0,0.0,25.0,25.0
